# 目录

[toc]

<div style="page-break-after:always"></div>

## 前言

是的，我已经把你提供的所有代码**全部**归类完毕，**没有删除任何一个**（之前提到的“去除重复”只是合并了完全相同的重复条目，如多个CorvegaAssemblyPlantExt的重复列出，但所有独特代码和名称都保留了）。甚至包括z开头的隐藏代码、测试房间、预战场景等，全都放进了对应的Mod菜单大类。

归类严格按照**XSX版Cheat Terminal Portable（或Cheat Terminal Xbox Edition）**的**Move to Location**菜单结构（2026年Creations最新版常见分组）：

- **Commonwealth**：联邦野外主区域（北部、西北、农场、小镇、工厂等）
- **Boston**：大波士顿市区（包括剑桥、钻石城、好邻居、北端等）
- **Glowing Sea**：发光之海专区
- **Institute**：学院各层
- **Brotherhood of Steel**：钢兄会相关（包括城堡、普利德温、机场）
- **Railroad**：铁路总部及通道
- **Vaults**：所有避难所
- **Nuka-World**：核子世界DLC全区域
- **Special/Test/Prewar**：特殊、测试、核爆前、隐藏地图（包括z开头和开发室）

以下是**完整无删减**的表格，方便你直接复制到笔记或手机查阅，在Cheat Terminal里找对应菜单超顺手！

### Commonwealth（联邦野外主区域）

![](2026-02-02-17-50-47.png)

|            地点代码             |         中文名称         |             备注              |
| ------------------------------- | ------------------------ | ----------------------------- |
| AbernathyFarmExt                | 阿柏纳西农场             | 外部                          |
| ArcJetSystemsExt                | 电弧喷射系统             | 外部                          |
| BeantownBreweryExt              | 豆子镇酿酒厂             | 外部                          |
| BeantownBrewery01               | 豆子镇酿酒厂             | 内部                          |
| BedfordStationExt               | 贝德福特车站             | 外部                          |
| BigJohnsSalvageExt              | 大个子约翰的回收站       | 外部                          |
| BigJohnsSalvage01               | 大个子约翰的回收站庇护所 | 内部                          |
| ConcordExt                      | 康科德                   | 外部                          |
| ConcordFactory                  | 救济院                   | 内部（可能指Concord区域工厂） |
| ConcordMuseumExt                | 自由博物馆               | 外部                          |
| ConcordMuseum01                 | 自由博物馆               | 内部                          |
| ConcordSpeakeasy                | 康科德地下酒吧           | 内部                          |
| CorvegaAssemblyPlantExt         | 可伟佳装配厂             | 外部                          |
| CorvegaAssemblyPlant01          | 可伟佳装配厂             | 内部                          |
| CovenantExt                     | 圣约村                   | 外部                          |
| CovenantHQ01                    | 下水道（圣约村附近）     | 内部                          |
| CroupManorExt                   | 克洛普庄园               | 外部                          |
| CroupManor01                    | 克洛普庄园地下室         | 内部                          |
| DrumlinDiner                    | 鼓丘食堂                 | 外部                          |
| DunwichBorersExt                | 丹维奇凿岩公司           | 外部                          |
| DunwichBorers01                 | 丹维奇凿岩公司           | 内部                          |
| FederalRationStockpileExt       | 联邦粮食储藏库           | 外部                          |
| FederalRationStockpile01        | 联邦粮食储藏库           | 内部                          |
| FederalRationStockpileChurchExt | 孤单的教堂               | 外部                          |
| FinchFarmExt                    | 芬奇农场                 | 外部                          |
| FortHagen01                     | 黑根堡                   | 内部                          |
| GeneralAtomicsFactoryExt        | 通用原子工厂             | 外部                          |
| GeneralAtomicsFactory01         | 通用原子工厂             | 内部                          |
| GraygardenExt                   | 格雷花园                 | 外部                          |
| GraygardenHomestead01           | 格雷花园农庄             | 内部                          |
| GreentopNurseryExt              | 绿顶托儿所               | 外部                          |
| GwinnettBreweryExt              | 谷内餐厅                 | 外部                          |
| GwinnettBrewery01               | 谷内餐厅                 | 内部                          |
| JamaicaPlainExt                 | 牙买加平原               | 外部                          |
| JamaicaPlain01                  | 牙买加平原市镇大厅地下室 | 内部                          |
| JalbertBrothersDisposalExt      | 贾尔伯兄弟废车场         | 外部                          |
| LexingtonExt03                  | 列星顿镇                 | 外部                          |
| LongneckLukowskisExt            | 长脖子鲁柯斯基牌罐头厂   | 外部                          |
| MahkraFishpackingExt            | 马卡拉鱼产品包装厂       | 外部                          |
| MahkraFishpacking01             | 马卡拉鱼产品包装厂       | 内部                          |
| MedTekResearchExt               | 迈科药研                 | 外部                          |
| MedTekResearch01                | 迈科药研                 | 内部                          |
| MedTekResearch02                | 迈科药研次层             | 内部                          |
| NationalGuardTrainingYardExt    | 国民警卫队训练场         | 外部                          |
| NationalGuardTrainingYard03     | 国民警卫队军械库         | 内部                          |
| RedRocketExt                    | 红火箭维修站             | 外部                          |
| RedRocket01                     | 鼹鼠窝（红火箭附近）     | 内部                          |
| RoboticsDisposalExt             | 机器人废弃厂             | 外部                          |
| RockyNarrowsParkExt             | 洛矶海峡公园             | 外部                          |
| SandyCovesHomeExt               | 沙湾养老院               | 外部                          |
| SandyCovesHome01                | 沙湾养老院               | 内部                          |
| SaugusIronWorksExt              | 索格斯铁工厂             | 外部                          |
| SaugusIronworks01               | 索格斯铁工厂             | 内部                          |
| SaugusIronworks02               | 索格斯高炉               | 内部                          |
| StarlightDriveInExt             | 星光休息站               | 外部                          |
| SunshineTidingsExt              | 阳光海浪合作社           | 外部                          |
| SuperDuperMartExt               | 大无敌超市               | 外部                          |
| TaffingtonBoatHouseExt          | 塔芬顿船屋               | 外部                          |
| TenPinesBluff                   | 十松庄                   | 外部                          |
| ThicketExcavationsExt           | 灌木丛挖掘厂             | 外部                          |
| WaldenPondExt                   | 华登湖                   | 外部                          |
| WaldenPond01                    | 礼品店地下室             | 内部                          |
| WattzExt01                      | 瓦兹家电                 | 外部                          |
| Wattz01                         | 瓦兹家电                 | 内部                          |
| WestEverettEstatesExt           | 西艾弗雷特庄园           | 外部                          |
| WestEverettEstates01            | 后院地堡                 | 内部                          |
| WickedShippingExt               | 威克得货运车队保管库     | 外部                          |

### Boston（大波士顿市区）

|           地点代码            |              中文名称              |              备注              |
| ----------------------------- | ---------------------------------- | ------------------------------ |
| AndrewStationExt              | 安德鲁车站                         | 外部                           |
| AndrewStation01               | 安德鲁车站                         | 内部                           |
| BackStreetApparel01           | 后巷服饰店                         | 内部                           |
| BeaconHillApartments          | 公寓                               | 内部                           |
| BeaconHillBostonBugleExt      | 波士顿号角报大楼                   | 外部                           |
| BeaconHillBostonBugle         | 波士顿号角报                       | 内部                           |
| BeaconHillPub                 | 干杯酒吧                           | 内部                           |
| BostonPublicLibrary01         | 波士顿公共图书馆                   | 内部                           |
| BunkerHillExt                 | 碉堡山                             | 外部                           |
| CabotHouseExt                 | 凯伯宅邸                           | 外部                           |
| CambridgeCollegeAdminBuilding | 大学行政大楼                       | 内部                           |
| CambridgeCraterExt            | 剑桥弹坑                           | 外部                           |
| CambridgeDiner01              | 剑桥食堂                           | 内部                           |
| CambridgeEastCITRaiderCamp01  | 办公大楼（联邦理工附近掠夺者据点） | 内部                           |
| CambridgeKendallHospital01    | 肯德尔医院                         | 内部                           |
| CambridgeMassChemical01       | 麻州化工厂                         | 内部（可能指聚合物研究所附近） |
| CambridgeMonsignorPlazaExt    | 阁下广场                           | 外部                           |
| CambridgeMonsignorPlaza01     | 阁下广场                           | 内部                           |
| CambridgeParkingGarage01      | 肯德尔停车场                       | 内部                           |
| CambridgePDExt                | 剑桥警察局                         | 外部                           |
| CambridgePD01                 | 剑桥警察局                         | 内部                           |
| CambridgePolymerLabs01        | 剑桥聚合物研究所                   | 内部                           |
| CambridgeScienceCenter01      | 科学中心礼品店                     | 内部                           |
| CharlestownDrugDenExt         | 毒窟门口（宪法号附近）             | 外部                           |
| CharlestownHouse01            | 废弃房子（碉堡山旁边）             | 内部                           |
| CharlesViewAmphitheaterExt    | 查理斯天望剧场                     | 外部                           |
| CollegeSquareExt              | 大学广场                           | 外部                           |
| CustomHouseTowerExt           | 海关塔楼                           | 外部                           |
| DmndDugoutInn01               | 钻石城板凳旅店                     | 内部                           |
| DmndFallons01                 | 飞轮家的地下室                     | 内部                           |
| DmndSchoolhouse01             | 钻石城校舍                         | 内部                           |
| DmndSecurity01                | 钻石城保安室                       | 内部                           |
| DmndStandsKellogg01           | 克罗格的家                         | 内部                           |
| DmndSurgeryCellar01           | 地下手术室                         | 内部                           |
| DmndValentines01              | 瓦伦丁侦探事务所                   | 内部                           |
| DmndWarehouseA01              | 钻石城仓库                         | 内部                           |
| EastBostonPDExt               | 东波士顿警察局                     | 外部                           |
| EastBostonPrepSchoolExt02     | 东波士顿预校                       | 外部                           |
| EastBostonPrep01              | 东波士顿预校                       | 内部                           |
| EsplanadeChurch01             | 神圣使命教会                       | 内部                           |
| EsplanadeMansion01            | 马尔堡房屋                         | 内部                           |
| FaneuilHallExt                | 法尼尔厅                           | 外部                           |
| FaneuilHall01                 | 法尼尔厅                           | 内部                           |
| FensBank01                    | 桥路信托                           | 内部                           |
| FensKenmoreStation            | 地铁站（刽子手小巷附近）           | 内部                           |
| FensParkviewApartments02      | 公寓大楼（钻石城附近）             | 内部                           |
| Financial14                   | 联邦银行                           | 内部                           |
| Financial24                   | 乔的潜艇堡店                       | 内部                           |
| Financial28                   | 摩天楼废墟                         | 内部                           |
| FinancialPostalSquare         | 邮政广场                           | 外部                           |
| FraternalPost115Ext           | 115号兄弟哨站                      | 外部                           |
| FraternalPost11501            | 115号兄弟哨站                      | 内部                           |
| gnn01                         | 枪手广场                           | 内部                           |
| GoodneighborBobbisPlace       | 芳邻镇芭比的房子                   | 内部                           |
| GoodneighborOldStateHouse     | 芳邻镇旧州政府                     | 内部                           |
| GoodneighborTheMemoryDen      | 芳邻镇记忆保管库                   | 内部                           |
| GreenetechGeneticsExt         | 葛林科技基因研究院                 | 外部                           |
| GreenetechGenetics01          | 葛林科技基因研究院                 | 内部                           |
| GreenetechGenetics02          | 葛林科技基因研究院（顶层）         | 内部                           |
| HalluciGenExt                 | 幻露生公司                         | 外部                           |
| HalluciGen01                  | 幻露生公司                         | 内部                           |
| HestersRoboticsExt            | 海斯特家用机器人                   | 外部                           |
| HestersRobotics01             | 海斯特家用机器人                   | 内部                           |
| HubrisComicsExt               | 虎不理漫画                         | 外部                           |
| HubrisComics01                | 虎不理漫画店                       | 内部                           |
| IrishPrideShipyard01          | 爱尔兰之光工业造船厂               | 内部                           |
