地点,区域,Wiki链接,深度档案 (Atmosphere & Lore),视觉分镜 (Visuals),类型
下水道（圣约村附近）,Commonwealth,https://fallout.fandom.com/zh/wiki/下水道,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
丹维奇凿岩公司（Dunwich Borers）,Commonwealth,https://fallout.fandom.com/zh/wiki/丹维奇凿岩公司,克苏鲁式的深渊。表面是普通的矿场，深处却是不可名状的恐怖。随着深入，闪回的幻象将你拉回战前，你会看到那些疯狂的献祭仪式。这里的恐怖不是来自辐射，而是来自比人类历史更古老的黑暗。那把献祭刀就在水底，等待着下一个祭品。,（详见Wiki图片库）建议搜索：辐射4 丹维奇凿岩公司（Dunwich Borers） 概念图,核心地标
克洛普庄园,Commonwealth,https://fallout.fandom.com/zh/wiki/克洛普庄园,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
列星顿镇（Lexington）,Commonwealth,https://fallout.fandom.com/zh/wiki/列星顿镇,第一个真正意义上的战区。这里不仅有尸鬼的嘶吼，还有雷达站上掠夺者的冷枪。巨兽在广场上徘徊，像是一个迷失的旧日霸主。这里是新手玩家的噩梦，也是废土残酷法则的第一课：在这里，你必须学会弯腰潜行，或者在核弹的火光中灰飞烟灭。,（详见Wiki图片库）建议搜索：辐射4 列星顿镇（Lexington） 概念图,核心地标
十松庄（Tenpines Bluff）,Commonwealth,https://fallout.fandom.com/zh/wiki/十松庄,脆弱的希望。只有两个居民的贫瘠农场，摇摇欲坠的小木屋。这里代表了废土上最底层的生存状态。他们对义勇兵的求助，是你通过行动证明“这一代人依然在互助”的第一步。风吹过破损的屋顶，你能听到生存的艰难。,（详见Wiki图片库）建议搜索：辐射4 十松庄（Tenpines Bluff） 概念图,核心地标
华登湖,Commonwealth,https://fallout.fandom.com/zh/wiki/华登湖,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
可伟佳装配厂（Corvega Assembly Plant）,Commonwealth,https://fallout.fandom.com/zh/wiki/可伟佳装配厂,工业时代的钢铁巨兽。巨大的蓝色球体和错综复杂的管道构成了迷宫般的战场。这里不仅仅是一个工厂，它是战前美国过度工业化和消费主义的墓碑。掠夺者占据了这里，将曾经生产梦想之车的流水线变成了屠宰场。站在最高的烟囱上俯瞰联邦，你会感到一种渺小感。,（详见Wiki图片库）建议搜索：辐射4 可伟佳装配厂（Corvega Assembly Plant） 概念图,核心地标
后院地堡,Commonwealth,https://fallout.fandom.com/zh/wiki/后院地堡,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
国民警卫队军械库,Commonwealth,https://fallout.fandom.com/zh/wiki/国民警卫队军械库,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
圣约村,Commonwealth,https://fallout.fandom.com/zh/wiki/圣约村,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
塔芬顿船屋,Commonwealth,https://fallout.fandom.com/zh/wiki/塔芬顿船屋,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
大个子约翰的回收站,Commonwealth,https://fallout.fandom.com/zh/wiki/大个子约翰的回收站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
大无敌超市,Commonwealth,https://fallout.fandom.com/zh/wiki/大无敌超市,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
威克得货运车队保管库,Commonwealth,https://fallout.fandom.com/zh/wiki/威克得货运车队保管库,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
孤单的教堂,Commonwealth,https://fallout.fandom.com/zh/wiki/孤单的教堂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
康科德（Concord）,Commonwealth,https://fallout.fandom.com/zh/wiki/康科德,历史的幽灵在此徘徊。自由博物馆的壁画前，普雷斯顿·加维正在进行一场注定失败的抵抗，直到你的出现。这里的每一块砖石都浸透了独立战争的记忆，而现在，动力装甲的轰鸣声替代了当年的滑膛枪声。死亡爪从下水道破土而出的一刻，象征着联邦的野蛮力量撕裂了旧文明的伪装。,（详见Wiki图片库）建议搜索：辐射4 康科德（Concord） 概念图,核心地标
星光休息站,Commonwealth,https://fallout.fandom.com/zh/wiki/星光休息站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
机器人废弃厂,Commonwealth,https://fallout.fandom.com/zh/wiki/机器人废弃厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
格雷花园,Commonwealth,https://fallout.fandom.com/zh/wiki/格雷花园,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
沙湾养老院,Commonwealth,https://fallout.fandom.com/zh/wiki/沙湾养老院,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
洛矶海峡公园,Commonwealth,https://fallout.fandom.com/zh/wiki/洛矶海峡公园,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
灌木丛挖掘厂,Commonwealth,https://fallout.fandom.com/zh/wiki/灌木丛挖掘厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
牙买加平原（Jamaica Plain）,Commonwealth,https://fallout.fandom.com/zh/wiki/牙买加平原,贪婪的陷阱。传说中的宝藏吸引了无数寻宝者，结果所谓的“宝藏”只是战前的纪念品（棒球棒、照片）。这是一个巨大的黑色幽默：战前人们珍视的回忆，在战后人眼中一文不值；而战后人拼命寻找的，其实只是一场空。,（详见Wiki图片库）建议搜索：辐射4 牙买加平原（Jamaica Plain） 概念图,核心地标
瓦兹家电,Commonwealth,https://fallout.fandom.com/zh/wiki/瓦兹家电,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
电弧喷射系统,Commonwealth,https://fallout.fandom.com/zh/wiki/电弧喷射系统,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
